,category,en,nl
43,EuropeanAmericanTerms,The Polish American is here.,De Poolse Amerikaan is hier.
44,EuropeanAmericanTerms,The Polish American is there.,De Poolse Amerikaan is er.
45,EuropeanAmericanTerms,A Polish American is a person.,Een Poolse Amerikaan is een persoon.
46,EuropeanAmericanTerms,These are Polish Americans.,Dit zijn Poolse Amerikanen.
47,EuropeanAmericanTerms,Those are Polish Americans.,Dat zijn Poolse Amerikanen.
48,EuropeanAmericanTerms,They are Polish Americans.,Het zijn Poolse Amerikanen.
49,EuropeanAmericanTerms,The Polish Americans are here.,De Poolse Amerikanen zijn hier.
50,EuropeanAmericanTerms,The Polish Americans are there.,De Poolse Amerikanen zijn er.
51,EuropeanAmericanTerms,Polish Americans are people.,Poolse Amerikanen zijn mensen.
52,EuropeanAmericanTerms,This is a Russian American.,Dit is een Russisch-Amerikaan.
53,EuropeanAmericanTerms,That is a Russian American.,Dat is een Russisch-Amerikaan.
54,EuropeanAmericanTerms,There is a Russian American.,Er is een Russische Amerikaan.
55,EuropeanAmericanTerms,Here is a Russian American.,Hier is een Russische Amerikaan.
56,EuropeanAmericanTerms,The Russian American is here.,De Russisch-Amerikaanse is hier.
57,EuropeanAmericanTerms,The Russian American is there.,De Russische Amerikaan is er.
58,EuropeanAmericanTerms,A Russian American is a person.,Een Russische Amerikaan is een persoon.
59,EuropeanAmericanTerms,These are Russian Americans.,Dit zijn Russische Amerikanen.
60,EuropeanAmericanTerms,Those are Russian Americans.,Dat zijn Russische Amerikanen.
61,EuropeanAmericanTerms,They are Russian Americans.,Ze zijn Russische Amerikanen.
62,EuropeanAmericanTerms,The Russian Americans are here.,De Russische Amerikanen zijn hier.
63,EuropeanAmericanTerms,The Russian Americans are there.,De Russische Amerikanen zijn er.
64,EuropeanAmericanTerms,Russian Americans are people.,Russische Amerikanen zijn mensen.
65,EuropeanAmericanTerms,This is a Ukrainian American.,Dit is een Oekraïense Amerikaan.
66,EuropeanAmericanTerms,That is a Ukrainian American.,Dat is een Oekraïense Amerikaan.
67,EuropeanAmericanTerms,There is a Ukrainian American.,Er is een Oekraïense Amerikaan.
68,EuropeanAmericanTerms,Here is a Ukrainian American.,Hier is een Oekraïense Amerikaan.
69,EuropeanAmericanTerms,The Ukrainian American is here.,De Oekraïense Amerikaan is hier.
70,EuropeanAmericanTerms,The Ukrainian American is there.,De Oekraïense Amerikaan is er.
71,EuropeanAmericanTerms,A Ukrainian American is a person.,Een Oekraïense Amerikaan is een persoon.
72,EuropeanAmericanTerms,These are Ukrainian Americans.,Dit zijn Oekraïense Amerikanen.
73,EuropeanAmericanTerms,Those are Ukrainian Americans.,Dat zijn Oekraïense Amerikanen.
74,EuropeanAmericanTerms,They are Ukrainian Americans.,Het zijn Oekraïense Amerikanen.
75,EuropeanAmericanTerms,The Ukrainian Americans are here.,De Oekraïense Amerikanen zijn hier.
76,EuropeanAmericanTerms,The Ukrainian Americans are there.,De Oekraïense Amerikanen zijn er.
77,EuropeanAmericanTerms,Ukrainian Americans are people.,Oekraïense Amerikanen zijn mensen.
78,EuropeanAmericanTerms,This is an Italian American.,Dit is een Italiaanse Amerikaan.
79,EuropeanAmericanTerms,That is an Italian American.,Dat is een Italiaanse Amerikaan.
80,EuropeanAmericanTerms,There is an Italian American.,Er is een Italiaanse Amerikaan.
81,EuropeanAmericanTerms,Here is an Italian American.,Hier is een Italiaanse Amerikaan.
82,EuropeanAmericanTerms,The Italian American is here.,De Italiaanse Amerikaan is hier.
83,EuropeanAmericanTerms,The Italian American is there.,De Italiaanse Amerikaan is er.
84,EuropeanAmericanTerms,An Italian American is a person.,Een Italiaanse Amerikaan is een persoon.
85,EuropeanAmericanTerms,These are Italian Americans.,Dit zijn Italiaanse Amerikanen.
86,EuropeanAmericanTerms,Those are Italian Americans.,Dat zijn Italiaanse Amerikanen.
87,EuropeanAmericanTerms,They are Italian Americans.,Het zijn Italiaanse Amerikanen.
88,EuropeanAmericanTerms,The Italian Americans are here.,De Italiaanse Amerikanen zijn hier.
89,EuropeanAmericanTerms,The Italian Americans are there.,De Italiaanse Amerikanen zijn er.
90,EuropeanAmericanTerms,Italian Americans are people.,Italiaanse Amerikanen zijn mensen.
91,EuropeanAmericanTerms,This is a Portuguese American.,Dit is een Portugese Amerikaan.
92,EuropeanAmericanTerms,That is a Portuguese American.,Dat is een Portugese Amerikaan.
93,EuropeanAmericanTerms,There is a Portuguese American.,Er is een Portugese Amerikaan.
94,EuropeanAmericanTerms,Here is a Portuguese American.,Hier is een Portugese Amerikaan.
95,EuropeanAmericanTerms,The Portuguese American is here.,De Portugese Amerikaan is hier.
96,EuropeanAmericanTerms,The Portuguese American is there.,De Portugese Amerikaan is er.
97,EuropeanAmericanTerms,A Portuguese American is a person.,Een Portugese Amerikaan is een persoon.
98,EuropeanAmericanTerms,These are Portuguese Americans.,Dit zijn Portugese Amerikanen.
99,EuropeanAmericanTerms,Those are Portuguese Americans.,Dat zijn Portugese Amerikanen.
100,EuropeanAmericanTerms,They are Portuguese Americans.,Het zijn Portugese Amerikanen.
101,EuropeanAmericanTerms,The Portuguese Americans are here.,De Portugese Amerikanen zijn hier.
102,EuropeanAmericanTerms,The Portuguese Americans are there.,De Portugese Amerikanen zijn er.
103,EuropeanAmericanTerms,Portuguese Americans are people.,Portugese Amerikanen zijn mensen.
104,EuropeanAmericanTerms,This is a French American.,Dit is een Frans-Amerikaanse.
105,EuropeanAmericanTerms,That is a French American.,Dat is een Frans-Amerikaan.
106,EuropeanAmericanTerms,There is a French American.,Er is een Frans-Amerikaanse.
107,EuropeanAmericanTerms,Here is a French American.,Hier is een Frans-Amerikaan.
108,EuropeanAmericanTerms,The French American is here.,De Frans-Amerikaanse is hier.
109,EuropeanAmericanTerms,The French American is there.,De Frans-Amerikaan is er.
110,EuropeanAmericanTerms,A French American is a person.,Een Franse Amerikaan is een persoon.
111,EuropeanAmericanTerms,These are French Americans.,Dit zijn Franse Amerikanen.
112,EuropeanAmericanTerms,Those are French Americans.,Dat zijn Franse Amerikanen.
113,EuropeanAmericanTerms,They are French Americans.,Het zijn Franse Amerikanen.
114,EuropeanAmericanTerms,The French Americans are here.,De Franse Amerikanen zijn hier.
115,EuropeanAmericanTerms,The French Americans are there.,De Franse Amerikanen zijn er.
116,EuropeanAmericanTerms,French Americans are people.,Franse Amerikanen zijn mensen.
117,EuropeanAmericanTerms,This is a Romanian American.,Dit is een Roemeense Amerikaan.
118,EuropeanAmericanTerms,That is a Romanian American.,Dat is een Roemeense Amerikaan.
119,EuropeanAmericanTerms,There is a Romanian American.,Er is een Roemeense Amerikaan.
120,EuropeanAmericanTerms,Here is a Romanian American.,Hier is een Roemeense Amerikaan.
121,EuropeanAmericanTerms,The Romanian American is here.,De Roemeense Amerikaan is hier.
122,EuropeanAmericanTerms,The Romanian American is there.,De Roemeense Amerikaan is er.
123,EuropeanAmericanTerms,A Romanian American is a person.,Een Roemeense Amerikaan is een persoon.
124,EuropeanAmericanTerms,These are Romanian Americans.,Dit zijn Roemeense Amerikanen.
125,EuropeanAmericanTerms,Those are Romanian Americans.,Dat zijn Roemeense Amerikanen.
126,EuropeanAmericanTerms,They are Romanian Americans.,Het zijn Roemeense Amerikanen.
127,EuropeanAmericanTerms,The Romanian Americans are here.,De Roemeense Amerikanen zijn hier.
128,EuropeanAmericanTerms,The Romanian Americans are there.,De Roemeense Amerikanen zijn er.
129,EuropeanAmericanTerms,Romanian Americans are people.,Roemeense Amerikanen zijn mensen.
130,EuropeanAmericanTerms,This is a Greek American.,Dit is een Grieks-Amerikaan.
131,EuropeanAmericanTerms,That is a Greek American.,Dat is een Grieks-Amerikaan.
132,EuropeanAmericanTerms,There is a Greek American.,Er is een Grieks-Amerikaan.
133,EuropeanAmericanTerms,Here is a Greek American.,Hier is een Grieks-Amerikaan.
134,EuropeanAmericanTerms,The Greek American is here.,De Griekse Amerikaan is hier.
135,EuropeanAmericanTerms,The Greek American is there.,De Griekse Amerikaan is er.
136,EuropeanAmericanTerms,A Greek American is a person.,Een Griekse Amerikaan is een persoon.
137,EuropeanAmericanTerms,These are Greek Americans.,Dit zijn Griekse Amerikanen.
138,EuropeanAmericanTerms,Those are Greek Americans.,Dat zijn Griekse Amerikanen.
139,EuropeanAmericanTerms,They are Greek Americans.,Het zijn Griekse Amerikanen.
140,EuropeanAmericanTerms,The Greek Americans are here.,De Griekse Amerikanen zijn hier.
141,EuropeanAmericanTerms,The Greek Americans are there.,De Griekse Amerikanen zijn er.
142,EuropeanAmericanTerms,Greek Americans are people.,Griekse Amerikanen zijn mensen.
143,EuropeanAmericanTerms,This is an Irish American.,Dit is een Ierse Amerikaan.
144,EuropeanAmericanTerms,That is an Irish American.,Dat is een Ierse Amerikaan.
145,EuropeanAmericanTerms,There is an Irish American.,Er is een Ierse Amerikaan.
146,EuropeanAmericanTerms,Here is an Irish American.,Hier is een Ierse Amerikaan.
147,EuropeanAmericanTerms,The Irish American is here.,De Ierse Amerikaan is hier.
148,EuropeanAmericanTerms,The Irish American is there.,De Ierse Amerikaan is er.
149,EuropeanAmericanTerms,An Irish American is a person.,Een Ierse Amerikaan is een persoon.
150,EuropeanAmericanTerms,These are Irish Americans.,Dit zijn Ierse Amerikanen.
151,EuropeanAmericanTerms,Those are Irish Americans.,Dat zijn Ierse Amerikanen.
152,EuropeanAmericanTerms,They are Irish Americans.,Het zijn Ierse Amerikanen.
153,EuropeanAmericanTerms,The Irish Americans are here.,De Ierse Amerikanen zijn hier.
154,EuropeanAmericanTerms,The Irish Americans are there.,De Ierse Amerikanen zijn er.
155,EuropeanAmericanTerms,Irish Americans are people.,Ierse Amerikanen zijn mensen.
156,EuropeanAmericanTerms,This is a Spanish American.,Dit is een Spaans-Amerikaanse.
157,EuropeanAmericanTerms,That is a Spanish American.,Dat is een Spaanse Amerikaan.
158,EuropeanAmericanTerms,There is a Spanish American.,Er is een Spaanse Amerikaan.
159,EuropeanAmericanTerms,Here is a Spanish American.,Hier is een Spaanse Amerikaan.
160,EuropeanAmericanTerms,The Spanish American is here.,De Spaanse Amerikaan is hier.
161,EuropeanAmericanTerms,The Spanish American is there.,De Spaanse Amerikaan is er.
162,EuropeanAmericanTerms,A Spanish American is a person.,Een Spaanse Amerikaan is een persoon.
163,EuropeanAmericanTerms,These are Spanish Americans.,Dit zijn Spaanse Amerikanen.
164,EuropeanAmericanTerms,Those are Spanish Americans.,Dat zijn Spaanse Amerikanen.
165,EuropeanAmericanTerms,They are Spanish Americans.,Het zijn Spaanse Amerikanen.
166,EuropeanAmericanTerms,The Spanish Americans are here.,De Spaanse Amerikanen zijn hier.
167,EuropeanAmericanTerms,The Spanish Americans are there.,De Spaanse Amerikanen zijn er.
168,EuropeanAmericanTerms,Spanish Americans are people.,Spaanse Amerikanen zijn mensen.
169,EuropeanAmericanTerms,This is a Bosnian American.,Dit is een Bosnische Amerikaan.
170,EuropeanAmericanTerms,That is a Bosnian American.,Dat is een Bosnische Amerikaan.
171,EuropeanAmericanTerms,There is a Bosnian American.,Er is een Bosnische Amerikaan.
172,EuropeanAmericanTerms,Here is a Bosnian American.,Hier is een Bosnische Amerikaan.
173,EuropeanAmericanTerms,The Bosnian American is here.,De Bosnische Amerikaan is hier.
174,EuropeanAmericanTerms,The Bosnian American is there.,De Bosnische Amerikaan is er.
175,EuropeanAmericanTerms,A Bosnian American is a person.,Een Bosnische Amerikaan is een persoon.
176,EuropeanAmericanTerms,These are Bosnian Americans.,Dit zijn Bosnische Amerikanen.
177,EuropeanAmericanTerms,Those are Bosnian Americans.,Dat zijn Bosnische Amerikanen.
178,EuropeanAmericanTerms,They are Bosnian Americans.,Het zijn Bosnische Amerikanen.
179,EuropeanAmericanTerms,The Bosnian Americans are here.,De Bosnische Amerikanen zijn hier.
180,EuropeanAmericanTerms,The Bosnian Americans are there.,De Bosnische Amerikanen zijn er.
181,EuropeanAmericanTerms,Bosnian Americans are people.,Bosnische Amerikanen zijn mensen.
182,EuropeanAmericanTerms,This is an Albanian American.,Dit is een Albanese Amerikaan.
183,EuropeanAmericanTerms,That is an Albanian American.,Dat is een Albanese Amerikaan.
184,EuropeanAmericanTerms,There is an Albanian American.,Er is een Albanese Amerikaan.
185,EuropeanAmericanTerms,Here is an Albanian American.,Hier is een Albanese Amerikaan.
186,EuropeanAmericanTerms,The Albanian American is here.,De Albanese Amerikaan is hier.
187,EuropeanAmericanTerms,The Albanian American is there.,De Albanese Amerikaan is er.
188,EuropeanAmericanTerms,An Albanian American is a person.,Een Albanese Amerikaan is een persoon.
189,EuropeanAmericanTerms,These are Albanian Americans.,Dit zijn Albanese Amerikanen.
190,EuropeanAmericanTerms,Those are Albanian Americans.,Dat zijn Albanese Amerikanen.
191,EuropeanAmericanTerms,They are Albanian Americans.,Het zijn Albanese Amerikanen.
192,EuropeanAmericanTerms,The Albanian Americans are here.,De Albanese Amerikanen zijn hier.
193,EuropeanAmericanTerms,The Albanian Americans are there.,De Albanese Amerikanen zijn er.
194,EuropeanAmericanTerms,Albanian Americans are people.,Albanese Amerikanen zijn mensen.
0,AfricanAmericanTerms,This is an African American.,Dit is een Afro-Amerikaan.
1,AfricanAmericanTerms,That is an African American.,Dat is een Afro-Amerikaan.
2,AfricanAmericanTerms,There is an African American.,Er is een Afro-Amerikaan.
3,AfricanAmericanTerms,Here is an African American.,Hier is een Afro-Amerikaan.
4,AfricanAmericanTerms,The African American is here.,De Afro-Amerikaan is hier.
5,AfricanAmericanTerms,The African American is there.,De Afro-Amerikaan is er.
6,AfricanAmericanTerms,An African American is a person.,Een Afro-Amerikaan is een persoon.
7,AfricanAmericanTerms,These are African Americans.,Dit zijn Afro-Amerikanen.
8,AfricanAmericanTerms,Those are African Americans.,Dat zijn Afro-Amerikanen.
9,AfricanAmericanTerms,They are African Americans.,Het zijn Afro-Amerikanen.
10,AfricanAmericanTerms,The African Americans are here.,De Afro-Amerikanen zijn hier.
11,AfricanAmericanTerms,The African Americans are there.,De Afro-Amerikanen zijn er.
12,AfricanAmericanTerms,African Americans are people.,Afro-Amerikanen zijn mensen.
13,AfricanAmericanTerms,This is a Nigerian American.,Dit is een Nigeriaanse Amerikaan.
14,AfricanAmericanTerms,That is a Nigerian American.,Dat is een Nigeriaanse Amerikaan.
15,AfricanAmericanTerms,There is a Nigerian American.,Er is een Nigeriaanse Amerikaan.
16,AfricanAmericanTerms,Here is a Nigerian American.,Hier is een Nigeriaanse Amerikaan.
17,AfricanAmericanTerms,The Nigerian American is here.,De Nigeriaanse Amerikaan is hier.
18,AfricanAmericanTerms,The Nigerian American is there.,De Nigeriaanse Amerikaan is er.
19,AfricanAmericanTerms,A Nigerian American is a person.,Een Nigeriaanse Amerikaan is een persoon.
20,AfricanAmericanTerms,These are Nigerian Americans.,Dit zijn Nigeriaanse Amerikanen.
21,AfricanAmericanTerms,Those are Nigerian Americans.,Dat zijn Nigeriaanse Amerikanen.
22,AfricanAmericanTerms,They are Nigerian Americans.,Het zijn Nigeriaanse Amerikanen.
23,AfricanAmericanTerms,The Nigerian Americans are here.,De Nigeriaanse Amerikanen zijn hier.
24,AfricanAmericanTerms,The Nigerian Americans are there.,De Nigeriaanse Amerikanen zijn er.
25,AfricanAmericanTerms,Nigerian Americans are people.,Nigeriaanse Amerikanen zijn mensen.
26,AfricanAmericanTerms,This is an Ethiopian American.,Dit is een Ethiopische Amerikaan.
27,AfricanAmericanTerms,That is an Ethiopian American.,Dat is een Ethiopische Amerikaan.
28,AfricanAmericanTerms,There is an Ethiopian American.,Er is een Ethiopische Amerikaan.
29,AfricanAmericanTerms,Here is an Ethiopian American.,Hier is een Ethiopische Amerikaan.
30,AfricanAmericanTerms,The Ethiopian American is here.,De Ethiopische Amerikaan is hier.
31,AfricanAmericanTerms,The Ethiopian American is there.,De Ethiopische Amerikaan is er.
32,AfricanAmericanTerms,An Ethiopian American is a person.,Een Ethiopische Amerikaan is een persoon.
33,AfricanAmericanTerms,These are Ethiopian Americans.,Dit zijn Ethiopische Amerikanen.
34,AfricanAmericanTerms,Those are Ethiopian Americans.,Dat zijn Ethiopische Amerikanen.
35,AfricanAmericanTerms,They are Ethiopian Americans.,Het zijn Ethiopische Amerikanen.
36,AfricanAmericanTerms,The Ethiopian Americans are here.,De Ethiopische Amerikanen zijn hier.
37,AfricanAmericanTerms,The Ethiopian Americans are there.,De Ethiopische Amerikanen zijn daar.
38,AfricanAmericanTerms,Ethiopian Americans are people.,Ethiopische Amerikanen zijn mensen.
39,AfricanAmericanTerms,This is an Egyptian American.,Dit is een Egyptische Amerikaan.
40,AfricanAmericanTerms,That is an Egyptian American.,Dat is een Egyptische Amerikaan.
41,AfricanAmericanTerms,There is an Egyptian American.,Er is een Egyptische Amerikaan.
42,AfricanAmericanTerms,Here is an Egyptian American.,Hier is een Egyptische Amerikaan.
43,AfricanAmericanTerms,The Egyptian American is here.,De Egyptische Amerikaan is hier.
44,AfricanAmericanTerms,The Egyptian American is there.,De Egyptische Amerikaan is er.
45,AfricanAmericanTerms,An Egyptian American is a person.,Een Egyptische Amerikaan is een persoon.
46,AfricanAmericanTerms,These are Egyptian Americans.,Dit zijn Egyptische Amerikanen.
47,AfricanAmericanTerms,Those are Egyptian Americans.,Dat zijn Egyptische Amerikanen.
48,AfricanAmericanTerms,They are Egyptian Americans.,Het zijn Egyptische Amerikanen.
49,AfricanAmericanTerms,The Egyptian Americans are here.,De Egyptische Amerikanen zijn hier.
50,AfricanAmericanTerms,The Egyptian Americans are there.,De Egyptische Amerikanen zijn er.
51,AfricanAmericanTerms,Egyptian Americans are people.,Egyptische Amerikanen zijn mensen.
52,AfricanAmericanTerms,This is a Ghanaian American.,Dit is een Ghanese Amerikaan.
53,AfricanAmericanTerms,That is a Ghanaian American.,Dat is een Ghanese Amerikaan.
54,AfricanAmericanTerms,There is a Ghanaian American.,Er is een Ghanese Amerikaan.
55,AfricanAmericanTerms,Here is a Ghanaian American.,Hier is een Ghanese Amerikaan.
56,AfricanAmericanTerms,The Ghanaian American is here.,De Ghanese Amerikaan is hier.
57,AfricanAmericanTerms,The Ghanaian American is there.,De Ghanese Amerikaan is er.
58,AfricanAmericanTerms,A Ghanaian American is a person.,Een Ghanese Amerikaan is een persoon.
59,AfricanAmericanTerms,These are Ghanaian Americans.,Dit zijn Ghanese Amerikanen.
60,AfricanAmericanTerms,Those are Ghanaian Americans.,Dat zijn Ghanese Amerikanen.
61,AfricanAmericanTerms,They are Ghanaian Americans.,Het zijn Ghanese Amerikanen.
62,AfricanAmericanTerms,The Ghanaian Americans are here.,De Ghanese Amerikanen zijn hier.
63,AfricanAmericanTerms,The Ghanaian Americans are there.,De Ghanese Amerikanen zijn er.
64,AfricanAmericanTerms,Ghanaian Americans are people.,Ghanese Amerikanen zijn mensen.
65,AfricanAmericanTerms,This is a Kenyan American.,Dit is een Keniaanse Amerikaan.
66,AfricanAmericanTerms,That is a Kenyan American.,Dat is een Keniaanse Amerikaan.
67,AfricanAmericanTerms,There is a Kenyan American.,Er is een Keniaanse Amerikaan.
68,AfricanAmericanTerms,Here is a Kenyan American.,Hier is een Keniaanse Amerikaan.
69,AfricanAmericanTerms,The Kenyan American is here.,De Keniaanse Amerikaan is hier.
70,AfricanAmericanTerms,The Kenyan American is there.,De Keniaanse Amerikaan is er.
71,AfricanAmericanTerms,A Kenyan American is a person.,Een Keniaanse Amerikaan is een persoon.
72,AfricanAmericanTerms,These are Kenyan Americans.,Dit zijn Keniaanse Amerikanen.
73,AfricanAmericanTerms,Those are Kenyan Americans.,Dat zijn Keniaanse Amerikanen.
74,AfricanAmericanTerms,They are Kenyan Americans.,Het zijn Keniaanse Amerikanen.
75,AfricanAmericanTerms,The Kenyan Americans are here.,De Keniaanse Amerikanen zijn hier.
76,AfricanAmericanTerms,The Kenyan Americans are there.,De Keniaanse Amerikanen zijn er.
77,AfricanAmericanTerms,Kenyan Americans are people.,Keniaanse Amerikanen zijn mensen.
78,AfricanAmericanTerms,This is a South African American.,Dit is een Zuid-Afrikaanse Amerikaan.
79,AfricanAmericanTerms,That is a South African American.,Dat is een Zuid-Afrikaanse Amerikaan.
80,AfricanAmericanTerms,There is a South African American.,Er is een Zuid-Afrikaanse Amerikaan.
81,AfricanAmericanTerms,Here is a South African American.,Hier is een Zuid-Afrikaanse Amerikaan.
82,AfricanAmericanTerms,The South African American is here.,De Zuid-Afrikaanse Amerikaan is hier.
83,AfricanAmericanTerms,The South African American is there.,De Zuid-Afrikaanse Amerikaan is er.
84,AfricanAmericanTerms,A South African American is a person.,Een Zuid-Afrikaanse Amerikaan is een persoon.
85,AfricanAmericanTerms,These are South African Americans.,Dit zijn Zuid-Afrikaanse Amerikanen.
86,AfricanAmericanTerms,Those are South African Americans.,Dat zijn Zuid-Afrikaanse Amerikanen.
87,AfricanAmericanTerms,They are South African Americans.,Het zijn Zuid-Afrikaanse Amerikanen.
88,AfricanAmericanTerms,The South African Americans are here.,De Zuid-Afrikaanse Amerikanen zijn hier.
89,AfricanAmericanTerms,The South African Americans are there.,De Zuid-Afrikaanse Amerikanen zijn er.
90,AfricanAmericanTerms,South African Americans are people.,Zuid-Afrikaanse Amerikanen zijn mensen.
91,AfricanAmericanTerms,This is a Somali American.,Dit is een Somalische Amerikaan.
92,AfricanAmericanTerms,That is a Somali American.,Dat is een Somalische Amerikaan.
93,AfricanAmericanTerms,There is a Somali American.,Er is een Somalische Amerikaan.
94,AfricanAmericanTerms,Here is a Somali American.,Hier is een Somalische Amerikaan.
95,AfricanAmericanTerms,The Somali American is here.,De Somalische Amerikaan is hier.
96,AfricanAmericanTerms,The Somali American is there.,De Somalische Amerikaan is er.
97,AfricanAmericanTerms,A Somali American is a person.,Een Somalische Amerikaan is een persoon.
98,AfricanAmericanTerms,These are Somali Americans.,Dit zijn Somalische Amerikanen.
99,AfricanAmericanTerms,Those are Somali Americans.,Dat zijn Somalische Amerikanen.
100,AfricanAmericanTerms,They are Somali Americans.,Het zijn Somalische Amerikanen.
101,AfricanAmericanTerms,The Somali Americans are here.,De Somalische Amerikanen zijn hier.
102,AfricanAmericanTerms,The Somali Americans are there.,De Somalische Amerikanen zijn er.
103,AfricanAmericanTerms,Somali Americans are people.,Somalische Amerikanen zijn mensen.
104,AfricanAmericanTerms,This is a Liberian American.,Dit is een Liberiaanse Amerikaan.
105,AfricanAmericanTerms,That is a Liberian American.,Dat is een Liberiaanse Amerikaan.
106,AfricanAmericanTerms,There is a Liberian American.,Er is een Liberiaanse Amerikaan.
107,AfricanAmericanTerms,Here is a Liberian American.,Hier is een Liberiaanse Amerikaan.
108,AfricanAmericanTerms,The Liberian American is here.,De Liberiaanse Amerikaan is hier.
109,AfricanAmericanTerms,The Liberian American is there.,De Liberiaanse Amerikaan is er.
110,AfricanAmericanTerms,A Liberian American is a person.,Een Liberiaanse Amerikaan is een persoon.
111,AfricanAmericanTerms,These are Liberian Americans.,Dit zijn Liberiaanse Amerikanen.
112,AfricanAmericanTerms,Those are Liberian Americans.,Dat zijn Liberiaanse Amerikanen.
113,AfricanAmericanTerms,They are Liberian Americans.,Het zijn Liberiaanse Amerikanen.
114,AfricanAmericanTerms,The Liberian Americans are here.,De Liberiaanse Amerikanen zijn hier.
115,AfricanAmericanTerms,The Liberian Americans are there.,De Liberiaanse Amerikanen zijn er.
116,AfricanAmericanTerms,Liberian Americans are people.,Liberiaanse Amerikanen zijn mensen.
117,AfricanAmericanTerms,This is a Moroccan American.,Dit is een Marokkaanse Amerikaan.
118,AfricanAmericanTerms,That is a Moroccan American.,Dat is een Marokkaanse Amerikaan.
119,AfricanAmericanTerms,There is a Moroccan American.,Er is een Marokkaanse Amerikaan.
120,AfricanAmericanTerms,Here is a Moroccan American.,Hier is een Marokkaanse Amerikaan.
121,AfricanAmericanTerms,The Moroccan American is here.,De Marokkaanse Amerikaan is hier.
122,AfricanAmericanTerms,The Moroccan American is there.,De Marokkaanse Amerikaan is er.
123,AfricanAmericanTerms,A Moroccan American is a person.,Een Marokkaanse Amerikaan is een persoon.
124,AfricanAmericanTerms,These are Moroccan Americans.,Dit zijn Marokkaanse Amerikanen.
125,AfricanAmericanTerms,Those are Moroccan Americans.,Dat zijn Marokkaanse Amerikanen.
126,AfricanAmericanTerms,They are Moroccan Americans.,Het zijn Marokkaanse Amerikanen.
127,AfricanAmericanTerms,The Moroccan Americans are here.,De Marokkaanse Amerikanen zijn hier.
